,SRR5962198,SRR5962199,SRR5962200,SRR5962201,SRR5962202,SRR5962203,SRR5962204,SRR5962205,SRR5962206,SRR5962207,SRR5962208,SRR5962209,SRR5962210,SRR5962211,SRR5962212,SRR5962213,SRR5962214,SRR5962215,SRR5962216,SRR5962217,SRR5962218,SRR5962219,SRR5962220,SRR5962221,SRR5962222,SRR5962223,SRR5962224,SRR5962225,SRR5962226,SRR5962227,SRR5962228,SRR5962229,SRR5962230,SRR5962231,SRR5962232,SRR5962233,SRR5962234,SRR5962235,SRR5962236,SRR5962237,SRR5962238,SRR5962239,SRR5962240,SRR5962241
ENSG00000212040,0,0,2,0,2,0,0,1,0,0,11,0,0,0,8,2,2,0,0,0,0,1,0,0,0,0,0,8,1,1,0,1,3,0,0,0,0,5,2,0,0,4,0,8
ENSG00000110514,491,243,745,1233,1004,592,3493,539,412,312,1403,774,296,488,757,1966,3036,1660,1499,1173,2724,1126,20,830,1103,634,1963,4383,1467,1034,934,1482,1776,499,936,527,1444,637,2220,2052,2964,3180,3359,719
ENSG00000086015,438,176,702,1266,1130,526,2304,579,480,331,2122,719,215,614,903,2426,2554,1346,1697,998,2089,962,56,626,1471,1283,2285,3775,1539,1343,1177,1399,1949,564,1280,824,1970,575,2036,1768,6338,2140,2343,686
ENSG00000211769,0,0,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,4
ENSG00000211768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,1,0,0,0,4,1
ENSG00000250337,0,0,0,9,50,0,0,4,11,9,0,11,0,0,50,0,43,0,15,0,0,0,0,0,0,0,19,74,14,17,6,0,0,6,0,0,19,71,0,0,0,0,0,100
ENSG00000204228,31,25,69,206,125,55,760,83,59,47,81,120,78,62,58,346,239,356,163,259,264,345,0,72,168,168,249,358,488,297,102,219,165,62,368,191,363,157,156,479,139,193,168,134
ENSG00000255071,216,40,0,0,0,0,0,0,0,141,0,62,0,0,8,13,61,0,0,84,0,292,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,17,0,0,6
ENSG00000211767,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,4,2,3,0,0,1,2,8,1,3,1,3,3,2,4,3,4
ENSG00000211766,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,2,2,3,0,0,1,0,0,0,1,0,1,1,0,0,3,4
