Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	
ENSG00000212040	0	0	2	0	2	0	0	1	0	0	11
ENSG00000110514	491	243	745	1233	1004	592	3493	539	412	312	1403
ENSG00000086015	438	176	702	1266	1130	526	2304	579	480	331	2122
ENSG00000211769	0	0	0	0	1	0	2	0	0	0	0
ENSG00000211768	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250337	0	0	0	9	50	0	0	4	11	9	0
ENSG00000204228	31	25	69	206	125	55	760	83	59	47	81
ENSG00000255071	216	40	0	0	0	0	0	0	0	141	0
ENSG00000211767	0	0	2	0	0	0	5	0	0	0	0
ENSG00000211766	0	0	0	0	0	0	1	1	0	0	0
ENSG00000211765	0	0	0	0	0	0	0	1	0	0	0
ENSG00000211764	0	0	0	0	2	0	1	0	0	0	0
ENSG00000169740	198	166	531	723	385	365	1684	423	119	191	293
ENSG00000215869	0	0	0	0	0	0	0	0	0	0	0
ENSG00000261609	591	414	1110	2264	2144	1071	2329	568	487	449	1348
ENSG00000169744	956	497	788	1913	1344	1113	2016	566	515	534	609
ENSG00000261607	0	0	0	0	2	0	0	0	0	0	0
ENSG00000261606	0	0	0	0	0	0	0	0	6	0	22
ENSG00000215866	0	0	0	0	0	0	0	0	0	0	0
ENSG00000261604	11	4	9	9	38	15	34	5	14	6	22
ENSG00000261603	0	0	0	0	0	0	0	4	0	0	0
ENSG00000261602	0	0	0	0	0	0	0	0	0	0	0
ENSG00000261600	3	0	3	18	6	6	23	15	6	0	5
ENSG00000251074	0	0	0	0	7	0	0	0	0	0	3
ENSG00000168298	1006	698	1771	2597	3168	905	8825	1711	740	804	946
ENSG00000255070	0	0	0	0	3	0	0	3	0	0	0
ENSG00000168297	241	239	411	1176	675	384	1325	321	185	226	268
ENSG00000266460	0	0	0	0	0	0	0	0	0	0	0
ENSG00000266461	0	0	0	0	0	0	0	0	4	0	0
ENSG00000266466	0	0	0	6	14	0	0	0	0	0	8
ENSG00000266467	3	0	18	8	23	0	17	8	0	3	18
ENSG00000266464	0	0	0	0	0	0	0	0	0	0	0
ENSG00000168291	555	272	1082	1499	601	839	4452	575	285	329	275
ENSG00000262558	0	0	0	15	5	7	7	3	11	0	0
ENSG00000212072	0	0	0	0	1	0	2	0	0	0	0
ENSG00000212073	0	0	0	1	0	0	6	2	1	1	4
ENSG00000212070	0	0	0	0	0	0	0	0	0	0	0
ENSG00000212071	0	0	0	0	0	0	0	0	0	0	0
ENSG00000212076	1	1	1	1	1	1	1	1	1	1	1
ENSG00000262554	2	1	2	4	1	1	5	3	5	6	2
ENSG00000212075	0	0	0	0	2	0	0	0	0	0	0
ENSG00000225108	14	5	44	33	24	14	59	16	4	5	46
