"geneName" "repeatClass" "repeatName" "SRR5962198" "SRR5962199" "SRR5962200" "SRR5962201" "SRR5962202" "SRR5962203" "SRR5962204" "SRR5962205" "SRR5962206" "SRR5962207" "SRR5962208" "SRR5962209" "SRR5962210" "SRR5962211" "SRR5962212" "SRR5962213" "SRR5962214" "SRR5962215" "SRR5962216" "SRR5962217" "SRR5962218" "SRR5962219" "SRR5962220" "SRR5962221" "SRR5962222" "SRR5962223" "SRR5962224" "SRR5962225" "SRR5962226" "SRR5962227" "SRR5962228" "SRR5962229" "SRR5962230" "SRR5962231" "SRR5962232" "SRR5962233" "SRR5962234" "SRR5962235" "SRR5962236" "SRR5962237" "SRR5962238" "SRR5962239" "SRR5962240" "SRR5962241"
"1" "RPL10P1" "LINE" "CR1-11_Crp" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2" "FAM171A2" "LINE" "CR1-3_Croc" 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 4
"3" "RP1-197O17.3" "LINE" "CR1-3_Croc" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"4" "RP11-396O20.1" "LINE" "CR1-3_Croc" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5" "RPL7L1P5" "LINE" "CR1-3_Croc" 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 4
"6" "AC108713.1" "LINE" "CR1-L3A_Croc" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"7" "AC112778.1" "LINE" "HAL1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"8" "ARPC2" "LINE" "HAL1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"9" "CTD-2154H6.1" "LINE" "HAL1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 8 0
"10" "DDX10P1" "LINE" "HAL1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"11" "EIF4ENIF1" "LINE" "HAL1" 12 0 4 0 4 0 0 4 8 0 16 4 0 0 8 4 0 8 20 16 16 8 0 16 24 8 36 36 16 16 8 0 40 4 8 8 12 4 16 0 44 4 40 28
"12" "MIOS" "LINE" "HAL1" 0 0 4 2 2 0 0 2 0 0 4 0 0 0 2 12 6 0 0 4 2 0 0 6 4 0 0 4 4 14 0 2 0 2 0 0 0 10 2 8 20 10 0 2
"13" "MIR6891" "LINE" "HAL1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"14" "MOBP" "LINE" "HAL1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"15" "MRPL49P1" "LINE" "HAL1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"16" "MYL8P" "LINE" "HAL1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0
"17" "PPIAP25" "LINE" "HAL1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"18" "RN7SL96P" "LINE" "HAL1" 24 0 12 0 0 0 24 0 12 0 12 24 0 0 0 12 12 0 0 0 24 0 0 12 0 12 12 0 24 0 0 0 4 0 0 24 0 0 0 12 0 0 0 0
"19" "RP11-109P14.2" "LINE" "HAL1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20" "RP11-50B3.4" "LINE" "HAL1" 0 0 8 2 26 0 4 8 0 0 24 2 0 0 2 6 0 18 0 0 4 2 0 0 8 0 0 0 16 8 0 0 0 0 0 0 0 0 14 0 2 2 0 6
"21" "RPL31" "LINE" "HAL1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0
"22" "SLC25A5P6" "LINE" "HAL1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"23" "SNORD18" "LINE" "HAL1" 2 0 0 4 0 0 4 0 0 0 0 0 0 0 0 0 0 0 10 0 2 4 0 2 2 0 6 14 2 2 0 2 0 0 4 0 0 0 0 8 0 0 0 2
"24" "STK33P1" "LINE" "HAL1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"25" "WDR64" "LINE" "HAL1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0
"26" "C8orf87" "LINE" "HAL1b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"27" "PEX3" "LINE" "HAL1b" 0 0 0 2 0 0 2 2 0 2 0 0 0 0 0 0 2 0 2 0 4 2 0 0 2 2 6 0 0 4 2 2 2 0 4 0 0 0 0 2 4 2 0 0
"28" "RNA5SP221" "LINE" "HAL1b" 0 0 0 2 0 0 2 2 0 2 0 0 0 0 0 0 2 0 2 0 4 2 0 0 2 2 6 0 0 4 2 2 2 0 4 0 0 0 0 2 4 2 0 0
"29" "RP4-803A2.2" "LINE" "HAL1b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
"30" "STK33P1" "LINE" "HAL1b" 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"31" "RP11-500K19.2" "LINE" "HAL1M8" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
"32" "SMIM2-AS1" "LINE" "HAL1M8" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"33" "AC091813.2" "LINE" "HAL1ME" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"34" "AC098592.7" "LINE" "HAL1ME" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35" "AIG1P1" "LINE" "HAL1ME" 2 8 16 24 24 10 32 16 6 2 10 12 20 4 12 34 44 30 32 14 38 94 0 12 8 12 22 74 32 52 18 24 12 0 52 8 16 26 22 36 44 26 24 28
"36" "MIS18A-AS1" "LINE" "HAL1ME" 0 0 6 0 4 0 12 0 0 0 4 2 0 2 0 4 8 8 4 0 2 4 0 2 4 8 4 12 4 6 2 10 10 4 2 6 0 2 4 24 14 0 0 12
"37" "RP11-109P14.2" "LINE" "HAL1ME" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"38" "RP11-264B17.4" "LINE" "HAL1ME" 0 2 0 6 2 2 10 30 0 8 12 0 2 2 2 12 8 6 2 8 6 0 0 6 4 16 6 16 10 6 0 0 6 2 14 0 8 2 16 8 4 6 18 0
"39" "RP11-397P13.6" "LINE" "HAL1ME" 36 2 42 0 50 4 152 30 24 2 0 20 0 12 16 124 194 100 0 40 118 22 0 84 58 10 58 190 108 2 14 88 92 12 162 28 144 44 118 132 154 84 4 80
"40" "RP11-50B3.4" "LINE" "HAL1ME" 0 0 2 0 6 0 0 2 0 0 6 0 0 0 0 4 0 6 0 0 4 0 0 0 2 0 0 0 4 2 0 0 0 0 0 0 0 0 6 0 0 0 0 2
"41" "RP11-530A18.1" "LINE" "HAL1ME" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
"42" "RP11-583F2.7" "LINE" "HAL1ME" 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 4 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"43" "YOD1" "LINE" "HAL1ME" 0 0 12 2 2 6 22 2 0 0 10 4 0 0 6 16 6 10 2 0 6 6 0 10 10 4 16 24 6 12 8 2 8 0 2 0 18 4 16 8 24 12 18 6
"44" "RN7SL691P" "LINE" "L1HS" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"45" "AP001439.2" "LINE" "L1M" 50 16 62 68 56 22 486 86 38 20 68 58 58 32 30 254 240 158 98 110 198 162 2 84 32 118 102 100 170 238 88 152 76 86 288 94 94 20 110 178 216 142 100 42
"46" "CCDC42" "LINE" "L1M" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2
"47" "CTD-2529O21.2" "LINE" "L1M" 0 0 4 4 0 0 0 0 4 0 4 4 0 8 0 4 0 0 0 0 4 4 0 4 8 4 0 0 4 0 0 0 8 0 12 0 0 0 12 0 8 4 0 0
"48" "CTD-2589H19.6" "LINE" "L1M" 6 4 0 20 8 4 12 8 10 6 2 2 0 4 0 6 14 22 2 0 6 0 0 4 6 8 0 2 2 0 0 0 6 0 0 0 2 0 0 0 2 4 14 4
"49" "AC004386.4" "LINE" "L1M1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0
"50" "AC090044.2" "LINE" "L1M1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"51" "AL360297.1" "LINE" "L1M1" 0 0 0 0 0 4 4 0 0 0 0 0 0 0 0 12 0 0 8 0 0 0 0 0 0 0 8 0 0 0 0 4 0 0 4 0 4 8 0 0 8 0 0 0
"52" "AP000959.2" "LINE" "L1M1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"53" "RN7SL353P" "LINE" "L1M1" 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"54" "RNA5SP283" "LINE" "L1M1" 0 0 0 2 4 0 0 0 0 0 4 2 0 0 0 0 0 0 0 6 0 2 0 0 2 2 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0
"55" "RNU6-1135P" "LINE" "L1M1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"56" "RP1-276J11.2" "LINE" "L1M1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"57" "RP11-111K18.2" "LINE" "L1M1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"58" "RP11-575H3.1" "LINE" "L1M1" 0 0 0 8 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"59" "RP11-8J9.5" "LINE" "L1M1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"60" "AC092669.6" "LINE" "L1M2" 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
"61" "AC241377.1" "LINE" "L1M2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"62" "CICP16" "LINE" "L1M2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 4 0 0 0 0 0 0
"63" "CICP19" "LINE" "L1M2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"64" "CYP2C58P" "LINE" "L1M2" 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 4 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"65" "DGCR9" "LINE" "L1M2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 4 4
"66" "EID2" "LINE" "L1M2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0
"67" "GSC2" "LINE" "L1M2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"68" "KRT8P15" "LINE" "L1M2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"69" "LINC00851" "LINE" "L1M2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"70" "MARCH10" "LINE" "L1M2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 8 0
